Week,Date,Day,Session,Topic,Notes,Private notes
1,20-Jan,Tue,Lecture 1,Overview / Intro to Safety / Linear Algebra,,
1,22-Jan,Thu,Lecture 2,"Safety 2: verification concepts, automata, requirements, counter-examples (slides)",,
1,23-Jan,Fri,Lab,"Intro, MP0 walkthrough slides",MP0 released,
2,27-Jan,Tue,Lecture 3,"Safety 3: reachability, inductive invariants (slides)",,
2,29-Jan,Thu,Lecture 4,"Perception 1: neural networks, gradient descent (slides)",,
2,30-Jan,Fri,Lab,"Team formation, MP1 walkthrough",MP1 released,
3,3-Feb,Tue,Lecture 5,"Perception 2: intrinsic, extrinsic matrices, homogeneous coordinates (slides)",,
3,5-Feb,Thu,Lecture 6,"Perception 3: calibration, perspective, projection, eigenvalue problem (slides)",,
3,6-Feb,Fri,Lab,MP0 Demo (MP0 Due),-,
4,10-Feb,Tue,Lecture 7,"Perception 4: depth estimation, visual odometry, fundamental matrix, epipolar geometry (slides)",,
4,12-Feb,Thu,Lecture 8,"Control 1: ODEs, lipschitz contuinity, bang-bang control (slides)",,
4,13-Feb,Fri,Lab,MP2 walkthrough slides,MP2 released,
5,17-Feb,Tue,Lecture 9,GEM Field Trip (meet at the highbay facility),,
5,19-Feb,Thu,Lecture 10,"Control 2: PID, linear systems (slides)",,
5,20-Feb,Fri,Lab,MP1 Demo (MP1 due),-,
6,24-Feb,Tue,MT,Review Session (in class),,Review Session (in class)
6,26-Feb,Thu,MT,Midterm 1,,Midterm 1
6,27-Feb,Fri,Lab,MP2 Demo (MP2 due),-,
7,3-Mar,Tue,Lecture 11,"Control 3: linear systems, stability, Lyapunov, Hurwitz criteria (slides)",,
7,5-Mar,Thu,Lecture 12,"Project Workthrough F1 Tenth, GRAIC, and Drone projects (meet at ECEB 1015; we will walk to CSL studio)",,
7,6-Mar,Fri,Lab,MP3 Walkthrough slides,MP3 released,
8,10-Mar,Tue,,Pitch Presentation 1,,
8,12-Mar,Thu,,Pitch Presentation 2,,
8,13-Mar,Fri,Lab,Open Lab,-,
,16-Mar,Mon,,Spring break,,
,22-Mar,Sun,,Spring break,,
9,24-Mar,Tue,Lecture 13,"Filtering 1: Markov chains, conditional probability, motion models (slides)",,
9,26-Mar,Thu,Lecture 14,"Filtering 2: localization bayes filter, histogram filter, beliefs (slides)",,
9,27-Mar,Fri,Lab,Open Lab,-,
10,31-Mar,Tue,MT,Review Session (in class),,Review Session (in class)
10,2-Apr,Thu,MT,Miderm 2,,
10,3-Apr,Fri,Lab,MP3 Demo (MP3 due),-,
11,7-Apr,Tue,Lecture 15,"Filtering 3: Kalman filter, localization particle filter, importance sampling (slides)",,
11,9-Apr,Thu,Lecture 16,Filtering 4: review; SLAM (slides),,
11,10-Apr,Fri,Lab,,-,
12,14-Apr,Tue,Lecture 17,"Planning 1: graph search, uniform cost search (slides)",,
12,16-Apr,Thu,Lecture 18,"Planning 2: A*, optimal search, cost-to-go heuristics (slides)",,
12,17-Apr,Fri,Lab,(See CampusWire for details of the project checkpoint),-,
13,21-Apr,Tue,Lecture 19,"Planning 3: hybrid A*, PRM, probabilistic completeness (slides)",,
13,23-Apr,Thu,Lecture 20,"Planning 4: RRT, RRG, asymptotic optimality (slides)",,
13,24-Apr,Fri,Lab,-,-,
15,28-Apr,Tue,Lecture 21,Guest Lecture ,,
15,30-Apr,Thu,MT,Review Session (in class),,
15,1-May,Fri,Lab,-,-,
15,5-May,Tue,MT,Midterm 3,Last class,Sayan traveling 5-12
15,6-May,Wed,,,Last day of classes,
,7-May,,,,Reading day,
,8-May,,,,Final exam week,
,14-May,,,,Final exam week,
,22-May,,,,Deadline for grades,